                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3672,                 3.2758,                 1.8786,                 0.7959,                0.69458,                0.78553,                0.49642,                 3.6803,                 12.576,                 2.2919,             0.00055456,             0.00055456,             0.00055456
                      2,                 2.4299,                 1.4272,                 1.7043,                0.81262,                0.74356,                0.83313,                0.54836,                 3.2962,                   13.9,                 2.2563,              0.0010827,              0.0010827,              0.0010827
                      3,                 2.2011,                 1.2193,                 1.6722,                0.85937,                0.74359,                0.82584,                0.55067,                 3.6572,                 16.998,                 2.4275,              0.0015834,              0.0015834,              0.0015834
                      4,                   2.07,                 1.1202,                 1.6592,                0.84843,                 0.7207,                0.81997,                0.57869,                 3.4476,                 19.724,                 2.3837,              0.0015432,              0.0015432,              0.0015432
                      5,                 1.9645,                 1.0555,                 1.6441,                0.90229,                0.76465,                0.84898,                0.58447,                 3.3129,                 16.297,                 2.2947,               0.001502,               0.001502,               0.001502
                      6,                 1.8698,                0.98609,                 1.6352,                0.90487,                0.75882,                0.84501,                0.62342,                 3.2109,                 20.846,                 2.3479,              0.0014607,              0.0014607,              0.0014607
                      7,                 1.7758,                0.92767,                  1.625,                0.89088,                0.78057,                 0.8374,                0.62349,                 3.2994,                 18.014,                 2.4799,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.7238,                0.88326,                 1.6189,                0.91464,                0.79998,                0.87306,                0.65917,                 3.1032,                 18.724,                 2.3356,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.6507,                0.85528,                 1.6132,                0.91638,                0.79231,                0.86718,                0.65575,                 3.0005,                 20.071,                 2.3407,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.5824,                0.82076,                  1.608,                0.90458,                0.78526,                0.85503,                0.64948,                 3.2251,                 20.999,                 2.4595,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.5361,                0.79151,                 1.6055,                0.92435,                 0.7831,                0.85596,                0.67328,                 3.2487,                 20.867,                  2.473,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.5006,                0.78882,                  1.601,                0.92755,                0.77244,                0.85882,                0.67562,                 3.2293,                 19.762,                 2.4983,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.4993,                0.74498,                 1.5996,                0.92351,                0.80143,                 0.8848,                0.69087,                 2.9948,                 20.507,                 2.3472,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.4224,                0.71788,                 1.5944,                0.92506,                0.79734,                0.87247,                0.68634,                 3.0992,                 21.125,                 2.4163,              0.0011306,              0.0011306,              0.0011306
